iter,t_granted,state,updated,P_total,Q_total,Vmag,Vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
0,0.0,INITIALIZED,1,0.10699830073474552,0.0185325956468372,0.9684216364453725,0.24388335687036597,Line_3,2,12,1.0,0.9684216364453725,0.24388335687036597,0.99,0.26653361178958207,-1.2977640117665032,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
1,0.030000000000000002,NEXT_STEP,0,0.10699830073474552,0.0185325956468372,0.9684216364453725,0.24388335687036597,Line_3,2,12,1.0,0.9684216364453725,0.24388335687036597,0.99,0.26653361178958207,-1.2977640117665032,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
3,0.060000000000000005,NEXT_STEP,1,0.10699830298853075,0.018532592393525817,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
5,0.09000000000000001,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
6,0.12000000000000001,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
7,0.15000000000000002,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
8,0.18000000000000002,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
9,0.21000000000000002,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
10,0.24000000000000002,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
11,0.27,NEXT_STEP,0,0.10699830298756734,0.01853259241360572,0.9684216366840624,0.24388335664712388,Line_3,2,12,1.0,0.9684216366840624,0.24388335664712388,0.9900000001123009,0.26653361178958207,-1.2977640245573525,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455297,2.592586874903652,GENROU_6,46,GENROU_7,49
